datasetKey,basisOfRecord,occurrenceStatus,species,decimalLongitude,decimalLatitude,stateProvince,year,month,day,issues,references,license,geodeticDatum,gbifID,catalogNumber,elevation,elevationAccuracy,continent,preparations,county,locality,type
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-80.367713,25.066389,Florida,2022,1,30,cdround,https://www.inaturalist.org/observations/105873528,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3466421344,105873528,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-100.262932,25.637836,Nuevo León,2022,2,19,cdround,https://www.inaturalist.org/observations/107078573,http://creativecommons.org/licenses/by/4.0/legalcode,WGS84,3859087923,107078573,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-157.805841,21.287304,Hawaii,2022,4,30,cdround,https://www.inaturalist.org/observations/114109320,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3773721569,114109320,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-100.135168,25.398521,Nuevo León,2022,4,2,cdround,https://www.inaturalist.org/observations/110215129,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3858252947,110215129,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-118.020393,34.108628,California,2022,5,2,cdround,https://www.inaturalist.org/observations/115603344,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3773590823,115603344,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-118.451614,34.040808,California,2022,5,10,cdround,https://www.inaturalist.org/observations/116649708,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3802694474,116649708,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-100.986511,22.157129,San Luis Potosí,2022,5,8,cdround,https://www.inaturalist.org/observations/116236704,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3859163122,116236704,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-89.473557,20.357939,Yucatán,2022,5,23,cdround,https://www.inaturalist.org/observations/123530655,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3860228357,123530655,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-118.29627,34.018521,California,2022,6,17,cdround,https://www.inaturalist.org/observations/122259233,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3858880129,122259233,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-117.264012,33.952122,California,2022,7,4,cdround,https://www.inaturalist.org/observations/124847126,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3859746293,124847126,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-118.293589,33.865806,California,2021,1,5,cdround,https://www.inaturalist.org/observations/67640449,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3018096040,67640449,NA,NA,NA,NA,NA,NA,NA
50c9509d-22c7-4a22-a47d-8c48425ef4a7,HUMAN_OBSERVATION,PRESENT,Diaphorina citri,-63.098572,18.015401,NA,2021,1,11,cdround,https://www.inaturalist.org/observations/67919021,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,3031683589,67919021,NA,NA,NA,NA,NA,NA,NA
